story_id,age_group,theme_label,text
T01,Toddler,Animals,The cat sat. The cat is fat. The cat has a hat. The hat is red. The cat sat on the mat. The mat is flat. The flat mat is wet.
T02,Toddler,Colors,"The ball is red. The sun is yellow. The sky is blue. The grass is green. I see red. I see blue. Colors are fun. Red, blue, green."
T03,Toddler,Animals,The dog runs. The dog barks. Woof woof. The dog is big. The dog is brown. The dog has a bone. The bone is big.
T04,Toddler,Shapes,See the circle. The circle is round. See the square. The square has four sides. The triangle is sharp. I like shapes. Shapes are fun.
T05,Toddler,Colors,I see a pink pig. The pig is pink. I see a green frog. The frog is green. Pink and green. I love colors. Colors make me happy.
T06,Toddler,Animals,"The bird can fly. Fly, bird, fly. The bird is small. The bird is blue. The bird sings a song. Tweet tweet. I love the bird."
T07,Toddler,Food,I eat an apple. The apple is red. I drink milk. Milk is white. I eat bread. Bread is good. Food is yummy. Yummy yummy food.
T08,Toddler,Shapes,The sun is a circle. The door is a rectangle. The pizza is a circle too. I see circles. I see squares. Shapes are all around me.
T09,Toddler,Animals,"The fish swims. Swim, fish, swim. The fish is orange. The fish lives in water. Water is wet. The fish is happy. I like the fish."
T10,Toddler,Family,I love mom. Mom is kind. I love dad. Dad is fun. I love baby. Baby is small. We are a family. Family is love.
T11,Toddler,Colors,"The rose is red. The sky is blue. The leaf is green. The sun is yellow. I can name colors. Red, blue, green, yellow. I know my colors."
T12,Toddler,Animals,Moo says the cow. The cow is big. Baa says the sheep. The sheep is white. Oink says the pig. The pig is pink. Farm animals make sounds.
T13,Toddler,Food,Banana is yellow. I peel the banana. I eat the banana. It is sweet. Orange is orange. I peel the orange. I eat it too. Fruit is good.
T14,Toddler,Shapes,The wheel is round. Round like a circle. The box is square. Square has four sides. The hat is a cone. I know my shapes. Shapes are fun.
T15,Toddler,Family,Grandma is old. Grandma bakes cake. The cake is sweet. Grandpa sits. Grandpa tells stories. Stories are fun. I love grandma and grandpa.
T16,Toddler,Animals,The rabbit hops. Hop hop hop. The rabbit is white. The rabbit has long ears. The ears are pink. I like the rabbit. It is so cute.
T17,Toddler,Colors,Mix red and blue. You get purple. Mix red and yellow. You get orange. Colors can mix. Mixing is fun. I love to mix colors.
T18,Toddler,Food,I drink water. Water is clear. I eat rice. Rice is white. I eat peas. Peas are green. Good food keeps me healthy. I love healthy food.
T19,Toddler,Animals,The duck quacks. Quack quack. The duck swims in the pond. The pond is big. The duck has ducklings. The ducklings are small. They swim together.
T20,Toddler,Family,My sister plays. My brother runs. I clap my hands. We all laugh. We play together. Playing is fun. I love my family. Family is the best.
P01,Preschooler,Nature & Environment,"One sunny morning, a curious little caterpillar named Coco began munching through the biggest, juiciest leaf in the whole garden. She ate and ate until her belly was wonderfully full. Then she wrapped herself in a cozy, silky cocoon and fell into a deep, peaceful sleep. When Coco finally woke up and stretched her brand-new wings, she discovered she had transformed into the most beautiful butterfly the meadow had ever seen."
P02,Preschooler,Friendship & Kindness,"Leo the lion cub was new to the jungle and felt nervous because he did not know anyone yet. One afternoon, a cheerful little monkey named Momo swung down from a tall banana tree and offered Leo some fruit with a warm, friendly smile. From that very moment, the two became the best of friends, exploring the jungle together every single day and sharing all their adventures with each other."
P03,Preschooler,Problem-Solving,"Priya was building the tallest tower she had ever attempted, using her colorful wooden blocks, when suddenly the entire structure came tumbling down with a magnificent crash. Instead of giving up and walking away, Priya took a deep, calming breath, carefully studied what had gone wrong, and began rebuilding her tower even more slowly and deliberately. This time, she made sure each block was perfectly balanced before placing the next one on top."
