story_id,age_group,theme_label,text,avg_sentence_length,avg_word_length,word_count,sentence_count,flesch_kincaid_grade,flesch_reading_ease
T01,Toddler,Animals,The cat sat. The cat is fat. The cat has a hat. The hat is red. The cat sat on the mat. The mat is flat. The flat mat is wet.,4.43,2.84,31.0,7.0,-2.06,117.74
T02,Toddler,Colors,"The ball is red. The sun is yellow. The sky is blue. The grass is green. I see red. I see blue. Colors are fun. Red, blue, green.",3.5,3.29,28.0,8.0,-1.58,112.64
T03,Toddler,Animals,The dog runs. The dog barks. Woof woof. The dog is big. The dog is brown. The dog has a bone. The bone is big.,3.57,3.16,25.0,7.0,-2.4,118.61
T04,Toddler,Shapes,See the circle. The circle is round. See the square. The square has four sides. The triangle is sharp. I like shapes. Shapes are fun.,3.57,4.08,25.0,7.0,-0.98,108.46
T05,Toddler,Colors,I see a pink pig. The pig is pink. I see a green frog. The frog is green. Pink and green. I love colors. Colors make me happy.,4.0,3.29,28.0,7.0,-1.39,112.13
T06,Toddler,Animals,"The bird can fly. Fly, bird, fly. The bird is small. The bird is blue. The bird sings a song. Tweet tweet. I love the bird.",3.71,3.42,26.0,7.0,-2.34,118.47
T07,Toddler,Food,I eat an apple. The apple is red. I drink milk. Milk is white. I eat bread. Bread is good. Food is yummy. Yummy yummy food.,3.25,3.46,26.0,8.0,-2.52,118.94
T08,Toddler,Shapes,The sun is a circle. The door is a rectangle. The pizza is a circle too. I see circles. I see squares. Shapes are all around me.,4.5,3.56,27.0,6.0,0.59,98.87
T09,Toddler,Animals,"The fish swims. Swim, fish, swim. The fish is orange. The fish lives in water. Water is wet. The fish is happy. I like the fish.",3.71,3.62,26.0,7.0,-0.53,105.45
T10,Toddler,Family,I love mom. Mom is kind. I love dad. Dad is fun. I love baby. Baby is small. We are a family. Family is love.,3.12,3.08,25.0,8.0,-1.63,112.3
T11,Toddler,Colors,"The rose is red. The sky is blue. The leaf is green. The sun is yellow. I can name colors. Red, blue, green, yellow. I know my colors.",4.0,3.46,28.0,7.0,-0.54,106.09
T12,Toddler,Animals,Moo says the cow. The cow is big. Baa says the sheep. The sheep is white. Oink says the pig. The pig is pink. Farm animals make sounds.,4.0,3.61,28.0,7.0,-1.39,112.13
T13,Toddler,Food,Banana is yellow. I peel the banana. I eat the banana. It is sweet. Orange is orange. I peel the orange. I eat it too. Fruit is good.,3.5,3.5,28.0,8.0,1.79,88.47
T14,Toddler,Shapes,The wheel is round. Round like a circle. The box is square. Square has four sides. The hat is a cone. I know my shapes. Shapes are fun.,4.0,3.61,28.0,7.0,-0.97,109.11
T15,Toddler,Family,Grandma is old. Grandma bakes cake. The cake is sweet. Grandpa sits. Grandpa tells stories. Stories are fun. I love grandma and grandpa.,3.29,4.65,23.0,7.0,2.11,85.8
T16,Toddler,Animals,The rabbit hops. Hop hop hop. The rabbit is white. The rabbit has long ears. The ears are pink. I like the rabbit. It is so cute.,3.86,3.56,27.0,7.0,-0.54,105.79
T17,Toddler,Colors,Mix red and blue. You get purple. Mix red and yellow. You get orange. Colors can mix. Mixing is fun. I love to mix colors.,3.57,3.64,25.0,7.0,-0.04,101.69
T18,Toddler,Food,I drink water. Water is clear. I eat rice. Rice is white. I eat peas. Peas are green. Good food keeps me healthy. I love healthy food.,3.38,3.7,27.0,8.0,-1.6,112.54
